SPECIES,FR,TIME,SALINITY,CF,PCNKA,GNKA,MOISTURE,HEMATOCRIT,OSMOLALITY,LACTATE,GLUCOSE
W,12.5,12,0,0.44,4.7,5.2,77.8,21.0,272,18.0,92.4
W,12.5,12,0,0.44,3.6,4.5,78.8,24.5,261,17.4,93.8
W,12.5,12,0,0.43,5.9,5.2,79.0,23.0,267,13.9,122.0
W,12.5,12,0,0.42,4.6,4.9,78.2,22.8,262,8.1,89.6
W,12.5,12,0,0.45,6.3,4.1,78.6,20.3,261,7.0,94.8
W,12.5,12,8,0.54,4.2,4.1,76.3,22.0,268,12.9,93.0
W,12.5,12,8,0.43,3.2,5.1,78.0,21.5,264,13.5,90.3
W,12.5,12,8,0.43,4.8,5.2,78.6,22.5,268,14.0,93.4
W,12.5,12,8,0.49,4.7,3.1,78.1,25.8,262,14.6,93.8
W,12.5,12,8,0.37,4.7,4.1,76.6,21.5,260,12.0,84.5
W,12.5,12,8,0.50,5.0,5.3,78.0,23.8,267,10.9,95.1
W,12.5,12,16,0.38,4.3,3.9,77.9,23.3,283,7.0,80.3
W,12.5,12,16,0.50,4.0,3.9,76.6,22.5,284,8.4,82.8
W,12.5,12,16,0.45,4.4,4.1,77.3,24.8,278,9.0,98.4
W,12.5,12,16,0.43,3.8,4.0,77.4,23.8,283,8.6,88.5
W,12.5,12,16,0.44,6.2,4.8,76.1,21.3,291,7.5,120.0
W,12.5,12,16,0.49,5.6,4.2,77.4,18.0,290,8.8,105.5
W,12.5,12,24,0.42,4.9,NA,75.7,25.8,323,6.8,145.0
W,12.5,12,24,0.42,3.8,6.1,75.6,25.8,310,9.7,117.5
W,12.5,12,24,0.47,4.1,2.7,76.8,22.0,319,9.0,166.0
W,12.5,12,24,0.47,7.8,4.8,75.1,21.0,320,9.3,163.0
W,12.5,12,24,0.45,2.7,5.0,74.9,23.0,304,6.9,138.0
W,12.5,12,24,0.42,5.1,3.5,75.6,23.5,322,8.9,106.0
W,25.0,12,0,0.41,NA,4.6,78.4,21.0,257,21.5,71.1
W,25.0,12,0,0.45,2.9,5.2,78.7,23.0,262,16.6,72.2
W,25.0,12,0,0.47,5.5,4.3,76.9,21.8,258,11.3,74.8
W,25.0,12,0,0.49,3.3,4.5,78.1,22.0,261,14.3,95.0
W,25.0,12,0,0.49,5.2,NA,78.0,23.5,262,9.8,81.5
W,25.0,12,0,0.61,4.1,5.5,79.6,24.0,259,7.2,68.1
W,25.0,12,8,0.47,3.2,5.4,78.2,22.0,258,11.3,67.4
W,25.0,12,8,0.43,2.5,4.8,78.7,24.0,271,10.8,108.5
W,25.0,12,8,0.50,3.7,5.9,77.9,20.8,266,12.2,88.1
W,25.0,12,8,0.44,4.0,4.4,78.7,19.8,264,9.7,68.3
W,25.0,12,8,0.49,3.3,5.3,78.7,24.5,261,11.9,91.9
W,25.0,12,8,0.50,3.8,4.8,77.8,19.0,274,11.6,108.5
W,25.0,12,16,0.44,2.5,3.9,77.1,23.0,290,12.3,75.9
W,25.0,12,16,0.45,4.8,4.0,77.4,19.3,292,8.4,118.5
W,25.0,12,16,0.42,5.4,3.5,77.3,20.0,290,9.3,119.0
W,25.0,12,16,0.56,5.0,4.4,76.0,18.3,298,11.8,92.0
W,25.0,12,16,0.49,1.7,4.7,76.8,20.8,306,9.9,99.5
W,25.0,12,16,0.52,4.1,3.3,73.3,22.5,295,7.0,83.0
W,25.0,12,24,0.46,3.5,3.7,75.7,19.0,314,7.7,148.5
W,25.0,12,24,0.45,4.5,5.3,76.1,17.5,329,7.4,125.5
W,25.0,12,24,0.44,4.2,4.8,75.5,22.8,317,12.0,137.5
W,25.0,12,24,0.46,3.1,5.1,75.6,24.3,330,8.9,133.5
W,25.0,12,24,0.40,3.8,5.1,76.3,21.5,315,8.8,139.5
W,25.0,12,24,0.41,4.2,4.2,76.3,18.5,309,8.9,129.0
W,50.0,12,0,0.41,5.9,5.8,78.5,20.3,265,21.9,106.5
W,50.0,12,0,0.50,4.0,3.4,77.8,24.5,264,17.7,82.0
W,50.0,12,0,0.45,4.9,3.7,78.3,23.5,263,13.9,92.5
W,50.0,12,0,0.42,3.6,4.9,78.5,22.5,263,11.8,90.2
W,50.0,12,0,0.44,4.3,5.5,78.0,23.3,261,8.5,97.4
W,50.0,12,0,0.54,4.9,4.4,78.5,23.5,268,11.9,80.4
W,50.0,12,8,0.46,5.2,4.2,78.5,22.0,264,14.5,81.0
W,50.0,12,8,0.43,5.3,5.0,77.5,21.0,260,8.8,75.7
W,50.0,12,8,0.49,4.5,4.3,78.4,20.0,274,12.6,85.3
W,50.0,12,8,0.55,4.9,6.7,78.3,22.8,260,14.6,88.8
W,50.0,12,8,0.53,5.4,2.6,77.4,25.0,260,11.1,70.1
W,50.0,12,8,0.44,11.3,4.6,77.1,27.0,266,8.0,80.9
W,50.0,12,16,0.66,7.1,3.7,77.6,20.3,292,8.7,106.5
W,50.0,12,16,0.53,4.8,5.8,77.4,24.0,283,13.2,93.7
W,50.0,12,16,0.59,4.9,4.3,77.0,19.8,294,10.3,96.8
W,50.0,12,16,0.49,5.3,9.4,76.2,19.0,294,11.6,85.4
W,50.0,12,16,0.48,5.2,4.7,77.6,21.8,285,8.7,105.0
W,50.0,12,16,0.49,6.2,6.1,77.1,19.8,297,12.4,96.9
W,50.0,12,24,0.52,6.9,5.2,76.0,24.0,333,13.5,186.0
W,50.0,12,24,0.56,6.7,5.9,76.1,24.5,335,14.0,180.5
W,50.0,12,24,0.42,5.3,4.1,74.5,18.0,342,9.1,157.5
W,50.0,12,24,0.47,3.9,7.3,76.4,19.3,313,13.9,180.5
W,50.0,12,24,0.44,5.0,5.3,74.0,21.0,344,10.8,128.0
W,50.0,12,24,0.59,4.5,5.8,76.5,19.8,332,13.6,132.0
W,100.0,12,0,0.56,5.5,6.9,77.6,23.5,261,20.1,84.4
W,100.0,12,0,0.57,5.8,6.7,77.6,23.3,278,34.8,91.5
W,100.0,12,0,0.46,6.9,6.0,77.9,25.0,260,12.5,76.6
W,100.0,12,0,0.45,5.0,4.6,78.1,26.3,256,14.3,90.7
W,100.0,12,0,0.49,4.3,4.8,78.4,25.0,268,10.1,82.6
W,100.0,12,0,0.46,6.5,4.3,78.5,22.3,260,8.3,79.7
W,100.0,12,8,0.55,4.6,5.4,78.4,27.3,263,14.8,79.3
W,100.0,12,8,0.46,4.7,6.4,77.8,20.8,269,11.8,78.4
W,100.0,12,8,0.51,4.4,5.2,78.4,21.8,263,10.7,78.9
W,100.0,12,8,0.49,6.0,5.8,77.7,20.8,264,16.0,83.9
W,100.0,12,8,0.50,4.7,6.0,77.9,22.0,274,14.8,94.0
W,100.0,12,8,0.50,4.7,3.7,77.9,24.3,271,15.6,82.4
W,100.0,12,16,0.46,4.7,7.0,77.3,22.3,287,12.1,109.0
W,100.0,12,16,0.46,5.3,6.3,76.8,22.8,300,11.6,86.8
W,100.0,12,16,0.52,4.0,5.2,76.7,23.0,308,11.3,83.9
W,100.0,12,16,0.51,4.0,4.2,77.5,21.8,282,11.0,91.6
W,100.0,12,16,0.45,5.5,5.6,77.5,24.3,278,9.9,93.5
W,100.0,12,16,0.47,NA,4.0,77.5,18.5,284,13.2,80.4
W,100.0,12,24,0.52,4.4,6.7,75.8,24.0,302,8.3,131.0
W,100.0,12,24,0.47,5.5,7.5,75.9,24.8,327,11.8,167.0
W,100.0,12,24,0.51,5.2,6.0,75.1,22.3,334,12.2,158.5
W,100.0,12,24,0.47,4.5,6.0,74.8,20.5,331,8.6,119.0
W,100.0,12,24,0.51,5.2,6.0,75.7,20.3,347,9.1,185.0
W,100.0,12,24,0.59,4.6,6.0,75.5,21.5,338,12.4,167.5
W,12.5,72,0,0.40,3.0,4.1,78.8,23.0,258,7.3,68.0
W,12.5,72,0,0.43,2.1,3.7,79.1,22.8,267,12.0,71.9
W,12.5,72,0,0.40,1.2,4.5,78.4,22.3,259,10.7,63.1
W,12.5,72,0,0.46,5.4,4.2,78.3,23.5,272,13.3,70.4
W,12.5,72,0,0.43,3.7,3.9,79.0,24.3,262,7.5,80.5
W,12.5,72,0,0.47,4.2,2.7,77.6,26.5,269,10.6,62.9
W,12.5,72,8,0.40,5.6,3.3,79.6,26.3,255,6.7,62.8
W,12.5,72,8,0.46,5.2,4.0,78.9,22.5,274,12.0,97.4
W,12.5,72,8,0.23,6.0,2.6,78.7,22.8,268,10.6,76.9
W,12.5,72,8,0.50,5.3,2.9,77.7,24.3,260,10.1,59.7
W,12.5,72,8,0.45,4.8,2.2,79.1,22.5,258,7.3,49.6
W,12.5,72,8,0.39,4.7,2.4,79.0,21.3,263,6.7,57.9
W,12.5,72,16,0.42,9.6,6.4,78.0,22.3,271,8.4,63.4
W,12.5,72,16,0.40,10.1,4.3,78.4,20.5,275,6.4,58.2
W,12.5,72,16,0.47,7.9,4.2,78.6,23.3,265,7.4,61.5
W,12.5,72,16,0.42,11.2,4.5,78.8,21.3,269,6.4,58.1
W,12.5,72,16,0.44,8.7,4.2,79.4,20.0,264,9.3,58.6
W,12.5,72,16,0.44,7.4,5.2,78.5,21.5,272,6.0,60.3
W,12.5,72,24,0.43,14.4,5.5,77.7,24.0,303,13.1,76.9
W,12.5,72,24,0.45,16.1,5.0,77.1,20.0,321,8.8,51.2
W,12.5,72,24,0.45,11.2,5.1,76.1,22.5,340,9.9,67.9
W,12.5,72,24,0.40,10.7,5.2,77.1,21.8,306,10.3,74.1
W,12.5,72,24,0.43,15.7,4.3,77.4,22.5,318,6.5,115.5
W,12.5,72,24,0.39,12.9,5.7,78.1,21.3,301,10.0,84.6
W,25.0,72,0,0.40,3.4,4.9,78.5,26.0,254,6.5,76.2
W,25.0,72,0,0.49,3.1,2.6,77.9,21.8,254,9.3,66.5
W,25.0,72,0,0.51,3.1,5.6,78.7,22.5,259,8.6,83.0
W,25.0,72,0,0.42,3.6,0.7,78.1,23.5,266,7.2,71.4
W,25.0,72,0,0.67,3.4,3.2,78.8,27.0,271,11.4,92.5
W,25.0,72,0,0.43,3.7,3.5,78.9,27.8,261,10.4,79.8
W,25.0,72,8,0.43,4.5,2.7,78.3,20.0,273,21.4,84.7
W,25.0,72,8,0.40,5.3,3.6,78.7,20.3,263,10.4,91.9
W,25.0,72,8,0.48,2.0,2.0,78.1,23.0,260,11.3,73.9
W,25.0,72,8,0.44,4.6,3.6,78.8,23.8,267,9.1,78.3
W,25.0,72,8,0.65,5.7,2.8,78.6,27.0,258,9.4,70.7
W,25.0,72,8,0.49,4.0,3.1,78.7,20.5,260,10.2,71.8
W,25.0,72,16,0.52,6.3,5.9,78.6,21.8,270,9.5,73.9
W,25.0,72,16,0.50,7.0,4.8,78.4,23.0,269,17.2,71.1
W,25.0,72,16,0.46,7.3,4.7,78.4,20.8,NA,NA,NA
W,25.0,72,16,0.45,8.3,5.5,78.8,20.0,280,11.8,65.1
W,25.0,72,16,0.44,5.2,4.6,78.0,23.8,278,12.3,64.2
W,25.0,72,16,0.44,9.4,4.9,79.0,22.0,264,8.5,62.2
W,25.0,72,24,0.45,9.3,8.5,77.7,19.5,291,10.8,65.5
W,25.0,72,24,0.47,NA,4.4,NA,NA,NA,NA,NA
W,25.0,72,24,0.53,12.0,6.5,78.5,26.3,292,11.8,61.9
W,25.0,72,24,0.65,12.3,4.3,77.2,20.3,306,11.3,78.4
W,25.0,72,24,0.42,11.3,6.0,78.1,23.8,285,7.7,57.8
W,25.0,72,24,0.44,10.1,5.2,77.6,21.5,313,11.0,63.1
W,50.0,72,0,0.49,2.7,3.5,78.1,23.5,264,13.1,84.6
W,50.0,72,0,0.46,3.0,4.8,78.5,23.5,257,9.1,80.5
W,50.0,72,0,0.47,3.1,4.6,78.7,24.5,260,13.8,93.2
W,50.0,72,0,0.42,2.4,5.8,76.7,22.8,262,13.5,84.3
W,50.0,72,0,0.48,4.1,5.2,77.3,25.0,274,10.9,80.4
W,50.0,72,0,0.54,3.9,4.0,78.6,28.0,269,7.9,83.7
W,50.0,72,8,0.49,4.7,3.7,78.2,24.8,266,23.9,75.6
W,50.0,72,8,0.46,3.7,2.1,78.1,24.3,263,14.4,61.7
W,50.0,72,8,0.48,3.2,1.3,78.9,24.8,265,7.9,71.0
W,50.0,72,8,0.44,3.1,3.0,77.7,23.8,267,13.3,72.9
W,50.0,72,8,0.45,3.9,2.6,77.4,19.0,269,10.9,87.1
W,50.0,72,8,0.51,3.9,3.2,78.4,23.0,267,13.2,90.5
W,50.0,72,16,0.44,5.7,5.9,77.6,22.3,268,12.7,83.0
W,50.0,72,16,0.47,5.3,6.1,78.1,NA,264,10.6,68.0
W,50.0,72,16,0.46,6.3,4.1,79.0,24.8,271,9.7,63.7
W,50.0,72,16,0.63,5.3,5.8,77.9,23.0,267,10.8,86.5
W,50.0,72,16,0.53,6.9,6.8,78.0,22.8,267,13.4,68.1
W,50.0,72,16,0.44,5.1,5.9,77.6,21.3,268,12.9,73.3
W,50.0,72,24,0.44,10.4,6.0,78.0,21.5,291,10.5,62.0
W,50.0,72,24,0.47,7.9,9.1,77.8,23.0,302,15.6,65.0
W,50.0,72,24,0.51,12.4,6.6,76.8,24.3,309,15.2,58.6
W,50.0,72,24,0.49,13.6,14.3,77.7,18.0,300,10.7,69.9
W,50.0,72,24,0.42,11.2,7.6,77.2,19.0,298,13.5,65.8
W,50.0,72,24,0.51,12.2,6.2,77.9,19.0,291,13.4,67.6
W,100.0,72,0,0.56,3.0,3.6,78.3,26.8,265,11.3,77.7
W,100.0,72,0,0.44,5.2,6.4,78.7,25.5,266,12.5,82.6
W,100.0,72,0,0.53,4.3,4.4,78.9,24.5,258,10.0,81.2
W,100.0,72,0,0.51,3.7,4.8,78.0,26.5,262,13.1,77.5
W,100.0,72,0,0.52,3.9,3.5,78.8,25.8,252,9.2,77.1
W,100.0,72,0,0.52,4.8,5.4,78.5,25.3,257,10.8,81.4
W,100.0,72,8,0.54,5.0,5.7,77.6,25.5,262,20.2,79.8
W,100.0,72,8,0.47,4.4,3.6,78.0,26.5,260,11.7,81.6
W,100.0,72,8,0.53,6.0,2.6,78.2,21.8,257,11.0,80.5
W,100.0,72,8,0.50,3.2,4.5,78.3,24.8,266,15.4,76.0
W,100.0,72,8,0.51,4.7,2.5,78.3,24.0,262,11.4,73.6
W,100.0,72,8,0.55,4.3,6.1,78.0,20.5,266,12.5,60.4
W,100.0,72,16,0.62,5.1,5.4,77.3,21.0,265,9.7,65.1
W,100.0,72,16,0.48,7.6,5.6,78.1,24.0,273,12.0,79.1
W,100.0,72,16,0.49,6.1,3.4,78.2,26.0,276,15.3,82.2
W,100.0,72,16,0.62,7.5,5.4,78.5,25.0,277,11.1,64.9
W,100.0,72,16,0.56,6.2,6.7,78.1,21.0,271,10.9,71.9
W,100.0,72,16,0.53,7.3,5.4,78.3,25.8,276,11.6,75.0
W,100.0,72,24,0.53,11.2,10.4,77.5,25.5,287,17.9,72.6
W,100.0,72,24,0.51,10.6,10.9,78.1,23.5,286,14.8,67.4
W,100.0,72,24,0.54,12.1,7.6,78.4,26.3,288,14.8,67.4
W,100.0,72,24,0.51,14.0,8.5,78.4,20.5,276,13.4,83.4
W,100.0,72,24,0.73,8.4,9.0,78.2,24.5,287,11.6,65.0
W,100.0,72,24,0.52,11.5,8.4,78.1,27.0,281,13.7,79.0
W,12.5,120,0,0.61,4.3,3.3,77.7,27.0,273,9.6,64.6
W,12.5,120,0,0.49,4.0,3.3,79.1,20.0,252,4.2,61.5
W,12.5,120,0,0.38,4.1,4.5,78.1,22.5,262,11.0,76.2
W,12.5,120,0,0.39,4.5,4.7,79.1,23.8,267,8.1,62.9
W,12.5,120,0,0.48,4.3,3.9,79.4,21.8,273,16.3,77.6
W,12.5,120,0,0.45,3.8,2.7,79.5,19.8,256,5.6,67.9
W,12.5,120,8,0.44,9.5,2.1,78.3,24.5,250,8.7,63.0
W,12.5,120,8,0.44,NA,2.7,79.6,23.5,255,7.9,69.5
W,12.5,120,8,0.44,5.0,2.4,79.2,23.8,267,10.3,72.6
W,12.5,120,8,0.40,4.6,1.6,78.9,24.0,257,5.6,60.3
W,12.5,120,8,0.40,6.4,1.8,78.4,21.5,267,10.1,71.7
W,12.5,120,8,0.40,4.8,2.2,79.1,23.5,258,11.1,67.8
W,12.5,120,16,0.45,NA,4.2,79.2,22.3,270,6.4,57.0
W,12.5,120,16,0.42,8.6,5.5,78.8,23.5,273,7.5,64.0
W,12.5,120,16,0.42,7.4,4.3,79.7,23.0,263,4.5,63.3
W,12.5,120,16,0.44,7.8,4.6,76.4,25.0,264,7.9,62.8
W,12.5,120,16,0.43,7.1,3.3,78.6,25.8,274,7.9,58.2
W,12.5,120,16,0.42,8.6,3.5,79.2,24.8,274,8.7,56.0
W,12.5,120,24,0.41,12.1,5.5,78.5,22.0,313,7.4,44.5
W,12.5,120,24,0.42,15.2,7.4,78.6,26.5,297,5.1,47.3
W,12.5,120,24,0.43,15.9,5.2,77.4,24.0,330,8.6,48.7
W,12.5,120,24,0.41,16.2,7.3,79.0,21.0,290,11.3,66.0
W,12.5,120,24,0.39,14.0,5.9,76.8,26.8,313,7.9,56.2
W,12.5,120,24,0.43,13.6,6.4,78.5,22.8,280,8.1,56.1
W,25.0,120,0,0.54,4.0,3.3,79.4,24.0,257,6.9,58.2
W,25.0,120,0,0.42,4.1,4.2,79.4,25.0,255,5.2,62.1
W,25.0,120,0,0.40,2.9,5.7,78.7,25.5,269,11.0,89.1
W,25.0,120,0,0.39,4.4,3.9,79.1,20.0,258,11.4,72.8
W,25.0,120,0,0.43,4.1,2.3,78.9,29.8,252,8.2,72.1
W,25.0,120,0,0.43,3.8,4.3,78.7,24.3,262,6.3,68.1
W,25.0,120,8,0.46,4.9,2.2,78.3,23.0,258,12.1,69.5
W,25.0,120,8,0.43,5.6,1.7,79.2,25.8,256,7.7,70.3
W,25.0,120,8,0.42,6.0,4.1,78.3,23.3,256,8.5,63.3
W,25.0,120,8,0.51,6.2,1.6,79.4,23.8,257,7.3,58.7
W,25.0,120,8,0.40,5.1,1.3,79.4,21.3,266,18.0,87.3
W,25.0,120,8,0.54,7.0,3.0,79.1,25.8,253,11.6,65.3
W,25.0,120,16,0.45,7.9,5.5,79.2,22.0,266,10.4,47.7
W,25.0,120,16,0.41,8.3,4.3,77.3,23.0,270,8.9,64.1
W,25.0,120,16,0.51,7.2,4.3,78.9,24.8,269,8.6,63.0
W,25.0,120,16,0.43,6.6,2.9,77.3,23.3,261,6.2,59.1
W,25.0,120,16,0.39,6.4,4.3,79.1,26.3,270,8.7,52.0
W,25.0,120,16,0.42,NA,5.5,78.2,22.5,267,8.8,65.0
W,25.0,120,24,0.48,15.8,6.4,77.8,19.0,306,8.0,57.0
W,25.0,120,24,0.42,14.0,6.6,78.7,23.8,302,5.8,47.0
W,25.0,120,24,0.48,16.4,5.2,77.8,23.8,312,8.1,50.9
W,25.0,120,24,0.44,14.2,9.6,79.3,22.8,291,10.9,61.2
W,25.0,120,24,0.46,12.9,6.3,78.2,21.8,295,11.0,70.9
W,25.0,120,24,0.44,15.5,8.4,78.5,23.3,291,12.7,57.5
W,50.0,120,0,0.45,3.0,4.5,78.7,24.0,258,7.1,61.2
W,50.0,120,0,0.45,5.1,6.1,78.8,25.8,269,6.6,79.2
W,50.0,120,0,0.55,3.2,2.6,78.3,23.5,257,7.1,71.9
W,50.0,120,0,0.48,3.6,4.2,78.6,19.0,266,9.7,67.9
W,50.0,120,0,0.40,3.9,5.2,79.6,26.0,259,8.0,70.0
W,50.0,120,0,0.45,4.2,5.1,78.8,26.3,260,5.2,68.3
W,50.0,120,8,0.39,4.3,2.6,79.2,22.0,254,10.5,68.8
W,50.0,120,8,0.42,4.6,2.0,78.8,20.3,261,8.9,69.2
W,50.0,120,8,0.50,5.5,2.7,78.8,23.8,272,17.3,93.9
W,50.0,120,8,0.45,NA,2.1,78.7,20.3,271,13.3,78.4
W,50.0,120,8,0.47,5.5,1.6,79.2,25.0,279,21.4,76.3
W,50.0,120,8,0.41,4.2,1.8,78.6,24.8,271,15.6,66.9
W,50.0,120,16,0.46,5.9,5.5,79.1,23.8,277,15.2,66.5
W,50.0,120,16,0.45,8.5,6.0,79.4,20.8,269,8.7,56.7
W,50.0,120,16,0.47,6.1,4.8,78.6,24.8,265,10.3,66.8
W,50.0,120,16,0.49,7.5,5.1,78.4,20.3,272,13.3,60.2
W,50.0,120,16,0.55,9.0,4.6,79.4,25.0,280,16.0,67.7
W,50.0,120,16,0.46,9.1,4.8,79.1,21.3,269,11.9,67.9
W,50.0,120,24,0.51,13.9,7.7,78.9,25.0,282,12.7,68.3
W,50.0,120,24,0.48,14.2,9.9,78.4,21.0,281,10.4,67.5
W,50.0,120,24,0.44,13.9,7.9,80.0,23.5,279,9.9,59.1
W,50.0,120,24,0.49,11.2,8.0,77.8,23.0,286,10.8,54.5
W,50.0,120,24,0.41,13.6,8.2,79.0,25.3,284,14.4,63.4
W,50.0,120,24,0.47,12.4,9.4,78.8,26.0,275,18.5,72.0
W,100.0,120,0,0.51,3.3,4.9,78.4,25.5,260,8.4,62.5
W,100.0,120,0,0.52,3.5,4.4,78.1,23.0,263,8.5,67.3
W,100.0,120,0,0.53,3.0,6.0,78.5,23.0,257,6.0,64.1
W,100.0,120,0,0.48,3.1,5.8,78.0,24.8,255,6.9,71.8
W,100.0,120,0,0.50,3.2,6.3,78.8,24.0,260,10.2,78.0
W,100.0,120,0,0.58,3.8,3.1,79.1,22.0,262,7.9,60.9
W,100.0,120,8,0.60,3.6,3.0,79.1,23.5,262,13.1,66.5
W,100.0,120,8,0.42,4.7,2.3,78.6,20.0,256,11.0,68.6
W,100.0,120,8,0.56,3.4,3.3,78.7,24.0,255,8.1,63.4
W,100.0,120,8,0.50,4.5,4.8,78.6,20.5,255,10.1,65.9
W,100.0,120,8,0.49,5.2,2.1,79.0,22.8,255,12.5,71.0
W,100.0,120,8,0.48,5.3,3.2,79.0,25.0,262,12.8,67.2
W,100.0,120,16,0.51,7.7,5.3,78.4,21.5,277,10.0,65.3
W,100.0,120,16,0.47,6.4,4.0,78.1,20.5,274,7.9,68.4
W,100.0,120,16,0.45,6.3,5.4,77.2,19.5,269,11.0,60.3
W,100.0,120,16,0.74,6.1,5.7,78.2,20.3,269,10.2,71.9
W,100.0,120,16,0.52,5.5,4.8,78.6,24.5,268,15.2,70.9
W,100.0,120,16,0.52,7.4,4.8,78.9,27.0,269,10.5,61.3
W,100.0,120,24,0.43,12.3,6.7,78.5,22.8,285,13.1,71.2
W,100.0,120,24,0.49,12.3,6.0,78.6,19.0,286,8.6,66.6
W,100.0,120,24,0.51,12.1,7.4,78.6,24.3,286,12.9,51.8
W,100.0,120,24,0.50,10.5,5.2,78.7,22.5,284,12.3,63.5
W,100.0,120,24,0.44,13.6,8.4,79.1,24.5,271,9.6,65.3
W,100.0,120,24,0.50,12.0,8.0,79.2,25.5,280,15.4,69.3
